GPS1,GPS2,Species,Group,Time,General Location,Comments 
206334,62056,Redtails,KUS,NA,D/Karambi,
206230,62091,Redtails,KUS,NA,C/6,
206230,62091,Redtails,KUS,NA,C/6,
206230,62091,Redtails,KUS,NA,C/6,
206334,62056,Redtails,KUS,NA,D/Karambi,
206366,62055,Redtails,KUS,NA,E/7,
206469,62071,Redtails,KUS,NA,G/9,
206473,62074,Redtails,KUS,NA,G/9,
206527,62162,Redtails,KUS,NA,F/11,
206527,62162,Redtails,KUS,NA,F/11,
206527,62162,Redtails,KUS,NA,F/11,
206548,62277,Redtails,KUS,NA,Butanzi,
206464,62206,Redtails,KUS,NA,C/10,
206328,62155,Redtails,KUS,NA,C/Karambi,
206250,62183,Redtails,KUS,NA,B/7,
206339,62285,Redtails,KUS,NA,B/Karambi,
205990,62546,Redtails,SUK,NA,Q/9,
206060,62585,Redtails,SUK,NA,P/11,
206012,62672,Redtails,SUK,NA,O/11,
206012,62672,Redtails,SUK,NA,O/11,
206123,62745,Redtails,SUK,NA,P/13,
206156,62736,Redtails,SUK,NA,Q/14,
206156,62736,Redtails,SUK,NA,P/14,
206174,62738,Redtails,SUK,NA,Q/14,
206239,62749,Redtails,SUK,NA,Q/16,
206201,62650,Redtails,SUK,NA,R/13,
206201,62650,Redtails,SUK,NA,R/13,
206201,62650,Redtails,SUK,NA,R/13,
206352,62677,Redtails,SUK,NA,S/16,
206378,62515,Redtails,SUK,NA,X/14,
206382,62450,Redtails,SUK,NA,Y/13,
206408,62605,Redtails,SUK,NA,V/16,
206408,62605,Redtails,SUK,NA,V/16,
206390,62688,Redtails,SUK,NA,T/17,
205341,62720,Redtails,SUK,NA,S/17,
205341,62720,Redtails,SUK,NA,P/14,
206012,62675,Redtails,SUK,NA,O/10,
206012,62675,Redtails,SUK,NA,O/10,
206012,62675,Redtails,SUK,NA,O/10,
206249,62540,Redtails,SUK,NA,T/13,
206290,62504,Redtails,SUK,NA,R/13,
206335,62559,Redtails,SUK,NA,R/14,
206386,62746,Redtails,SUK,NA,R/18,
206386,62746,Redtails,SUK,NA,R/18,
206325,62698,Redtails,SUK,NA,S/16,
206250,62594,Redtails,SUK,NA,S/13,
206250,62594,Redtails,SUK,NA,S/13,
