Date,GPS1,GPS2,Species,Group,Time,General Location,Comments 
2017-03-16,206334,62056,Redtails,KUS,NA,D/Karambi,
2017-03-16,206230,62091,Redtails,KUS,NA,C/6,
2017-03-16,206230,62091,Redtails,KUS,NA,C/6,
2017-03-16,206230,62091,Redtails,KUS,NA,C/6,
2017-03-16,206334,62056,Redtails,KUS,NA,D/Karambi,
2017-03-16,206366,62055,Redtails,KUS,NA,E/7,
2017-03-16,206469,62071,Redtails,KUS,NA,G/9,
2017-03-16,206473,62074,Redtails,KUS,NA,G/9,
2017-03-16,206527,62162,Redtails,KUS,NA,F/11,
2017-03-16,206527,62162,Redtails,KUS,NA,F/11,
2017-03-16,206527,62162,Redtails,KUS,NA,F/11,
2017-03-17,206548,62277,Redtails,KUS,NA,Butanzi,
2017-03-17,206464,62206,Redtails,KUS,NA,C/10,
2017-03-17,206328,62155,Redtails,KUS,NA,C/Karambi,
2017-03-17,206250,62183,Redtails,KUS,NA,B/7,
2017-03-17,206339,62285,Redtails,KUS,NA,B/Karambi,
2017-03-21,205990,62546,Redtails,SUK,NA,Q/9,
2017-03-21,206060,62585,Redtails,SUK,NA,P/11,
2017-03-21,206012,62672,Redtails,SUK,NA,O/11,
2017-03-21,206012,62672,Redtails,SUK,NA,O/11,
2017-03-21,206123,62745,Redtails,SUK,NA,P/13,
2017-03-21,206156,62736,Redtails,SUK,NA,Q/14,
2017-03-21,206156,62736,Redtails,SUK,NA,P/14,
2017-03-21,206174,62738,Redtails,SUK,NA,Q/14,
2017-03-21,206239,62749,Redtails,SUK,NA,Q/16,
2017-03-21,206201,62650,Redtails,SUK,NA,R/13,
2017-03-21,206201,62650,Redtails,SUK,NA,R/13,
2017-03-21,206201,62650,Redtails,SUK,NA,R/13,
2017-03-22,206352,62677,Redtails,SUK,NA,S/16,
2017-03-22,206378,62515,Redtails,SUK,NA,X/14,
2017-03-22,206382,62450,Redtails,SUK,NA,Y/13,
2017-03-22,206408,62605,Redtails,SUK,NA,V/16,
2017-03-22,206408,62605,Redtails,SUK,NA,V/16,
2017-03-22,206390,62688,Redtails,SUK,NA,T/17,
2017-03-22,205341,62720,Redtails,SUK,NA,S/17,
2017-03-22,205341,62720,Redtails,SUK,NA,P/14,
2017-03-22,206012,62675,Redtails,SUK,NA,O/10,
2017-03-22,206012,62675,Redtails,SUK,NA,O/10,
2017-03-22,206012,62675,Redtails,SUK,NA,O/10,
2017-03-23,206249,62540,Redtails,SUK,NA,T/13,
2017-03-23,206290,62504,Redtails,SUK,NA,R/13,
2017-03-23,206335,62559,Redtails,SUK,NA,R/14,
2017-03-23,206386,62746,Redtails,SUK,NA,R/18,
2017-03-23,206386,62746,Redtails,SUK,NA,R/18,
2017-03-23,206325,62698,Redtails,SUK,NA,S/16,
2017-03-23,206250,62594,Redtails,SUK,NA,S/13,
2017-03-23,206250,62594,Redtails,SUK,NA,S/13,
2017-03-25,206158,62570,Redtails,SUK,NA,S/11,
2017-03-25,206230,62639,Redtails,SUK,NA,S/13,
2017-03-25,206230,62639,Redtails,SUK,NA,S/13,
2017-03-25,206230,62639,Redtails,SUK,NA,S/13,
2017-03-25,206097,62520,Redtails,SUK,NA,S/9,
2017-03-25,206097,62520,Redtails,SUK,NA,S/9,
2017-03-25,205958,62455,Redtails,SUK,NA,Q/6,
2017-03-25,205916,62485,Redtails,SUK,NA,Q/Karambi,
2017-03-25,205775,62387,Redtails,SUK,NA,Blaze,
2017-03-27,205771,62381,Redtails,KYO,NA,Trawl/1,
2017-03-27,205729,62357,Redtails,KYO,NA,Middle camp,
2017-03-27,205646,62468,Redtails,KYO,NA,Nursory,
2017-03-27,205607,62507,Redtails,KYO,NA,Nursory logged,
2017-03-27,205607,62507,Redtails,KYO,NA,Nursory logged,
2017-03-27,205607,62507,Redtails,KYO,NA,Nursory logged,
2017-03-27,205646,62468,Redtails,KYO,NA,Nursory,
2017-03-27,205646,62468,Redtails,KYO,NA,Nursory,
2017-03-27,205729,62357,Redtails,KYO,NA,Middle camp,
2017-03-28,205676,62203,Redtails,KYO,NA,OPP middle camp logged,
2017-03-28,205676,62203,Redtails,KYO,NA,OPP middle camp logged,
2017-03-28,205676,62203,Redtails,KYO,NA,OPP middle camp logged,
2017-03-28,205759,62320,Redtails,KYO,NA,middle camp,
2017-03-28,205825,62215,Redtails,KYO,NA,MUBFS,
2017-03-28,205825,62215,Redtails,KYO,NA,MUBFS,
2017-03-28,205825,62215,Redtails,KYO,NA,MUBFS,
2017-03-28,205900,62170,Redtails,KYO,NA,Baboon trail,
2017-03-28,205900,62170,Redtails,KYO,NA,Baboon trail,
2017-03-28,205900,62170,Redtails,KYO,NA,Baboon trail,
2017-03-28,205900,62170,Redtails,KYO,NA,Baboon trail,
2017-03-28,205900,62170,Redtails,KYO,NA,Baboon trail,
2017-03-29,205772,62310,Redtails,KYO,NA,Middle camp,
2017-03-29,205772,62310,Redtails,KYO,NA,Middle camp,
2017-03-29,205661,62387,Redtails,KYO,NA,Nursery logged,
2017-03-29,205568,62304,Redtails,KYO,NA,Tea swamp trail,
2017-03-29,205568,62304,Redtails,KYO,NA,Tea swamp trail,
2017-03-29,205568,62304,Redtails,KYO,NA,Tea swamp trail,
2017-03-29,205568,62304,Redtails,KYO,NA,Tea swamp trail,
2017-03-29,205476,62369,Redtails,KYO,NA,Tea swamp trail,
2017-03-29,205476,62369,Redtails,KYO,NA,Tea swamp trail,
2017-03-30,205704,62306,Redtails,KYO,NA,middle camp,Group lost
2017-03-30,205704,62306,Redtails,KYO,NA,middle camp,
2017-03-30,205573,62219,Redtails,KYO,NA,park boundary,
2017-11-04,206364,62319,Redtails,KUS,NA,Karambi Rd,
2017-11-04,206364,62319,Redtails,KUS,NA,Karambi Rd,
2017-11-04,206486,62621,Redtails,KUS,NA,V/17,
2017-11-04,206486,62621,Redtails,KUS,NA,V/17,
2017-11-04,206486,62621,Redtails,KUS,NA,V/17,
2017-11-04,206358,62428,Redtails,KUS,NA,Z/12,
2017-11-04,206358,62428,Redtails,KUS,NA,Z/12,
2017-11-04,206358,62428,Redtails,KUS,NA,Z/12,
2017-11-04,206319,62103,Redtails,KUS,NA,Karambi Rd.,
2017-11-04,206319,62103,Redtails,KUS,NA,Karambi Rd.,
2017-11-04,206319,62103,Redtails,KUS,NA,Karambi Rd.,
2017-11-04,206319,62103,Redtails,KUS,NA,Karambi Rd.,
2017-12-04,206274,62135,Redtails,KUS,NA,C/7,
2017-12-04,206294,62089,Redtails,KUS,NA,D/7,
2017-12-04,206228,62116,Redtails,KUS,NA,D/6,
2017-12-04,206287,62282,Redtails,KUS,NA,Z/9,
2017-12-04,206236,62412,Redtails,KUS,NA,W/10,
2017-12-04,206300,62507,Redtails,KUS,NA,T/13,
2017-12-04,206300,62507,Redtails,KUS,NA,T/13,
