Species,J #,Tag #,DBH,GPS 1 (N),GPS 2 (E),Error,Mon/Year
Chaetacme aristata,J0964,516,14.5,205862,62212,4,Jan-16
Blighia unijugata,J0966,522,17,205847,62215,5,Jan-16
Lovoa,J0967,527,11,205847,62216,4,Jan-16
Mimusops bagshaweii,J0968,1760,10.4,205843,62222,4,Jan-16
Trichillia,J0970,1757,11.5,205839,62221,5,Jan-16
Bosquiea phoberos,J0971,531,21.8,205841,62225,5,Jan-16
Blighia unijugata,J0973,533,14.3,205843,62223,5,Jan-16
Mimusops bagshaweii,J0974,532,33.7,205846,62223,5,Jan-16
Celtis durandii,J0976,1755,10.9,205845,62228,3,Jan-16
Celtis durandii,J0977,1752,10.9,205849,62227,3,Jan-16
Celtis durandii,J0978,1753,11.9,205848,62228,3,Jan-16
Strombosia scheffleri,J0979,1754,14,205847,62223,4,Jan-16
Celtis durandii,J0981,1761,11.9,205841,62224,4,Jan-16
Celtis durandii,J0982,535,11.5,205841,62222,5,Jan-16
Bosquiea phoberos,J0983,9260,21.8,205841,62226,4,Jan-16
Teclea nobilis,J0984,1758,10.9,205838,62221,4,Jan-16
Bosquiea phoberos,J0985,1765,16.3,205836,62246,4,Jan-16
Bosquiea phoberos,J0987,1767,15.3,205836,62245,3,Jan-16
Celtis africana,J0988,7382,18.9,205867,62215,4,Jan-16
Syzygium cordatum,J0989,518,17.9,205863,62217,3,Jan-16
Bosquiea phoberos,J0991,9961,35.6,205873,62213,6,Jan-16
Diospyros abyssinica,J0993,6969,14.3,205869,62212,6,Jan-16
Mimusops bagshaweii,J0994,7287,30,205879,62220,5,Jan-16
Chrosophyllum albidum,J0996,6970,26,205883,62214,4,Jan-16
Celtis africana,J0998,6971,14.9,205882,62214,4,Jan-16
Chaetacme aristata,J0999,6972,11.4,205885,62226,4,Jan-16
Celtis africana,J1000,6973,10.8,205884,62226,5,Jan-16
Pancovia,J1001,9268,18.1,205886,62226,5,Jan-16
Celtis africana,J1002,7396,14.3,205874,62225,6,Jan-16
Celtis africana,J1003,6981,12,205882,62218,7,Jan-16
Bosquiea phoberos,J1004,6982,14.8,205886,62221,7,Jan-16
Teclea nobilis,J1006,6983,12.7,205895,62231,5,Jan-16
Myrianthus,J1007,6979,11.2,205882,62219,6,Jan-16
Aphania senegalensis,J1009,6978,13.1,205879,62232,5,Jan-16
Strombosia scheffleri,J1011,6977,17.7,205879,62230,4,Jan-16
